,default_profile,default_profile_image,favourites_count,followers_count,friends_count,geo_enabled,statuses_count,verified,average_tweets_per_day,account_age_days,label,location_known,length,contains_emoji,contains_tag,contains_at,contains_link
97,1,0,16188,85812,75844,1,26352,0,10.432,2526,1,0,94,0,0,0,0
98,1,0,2145,18,0,0,2993,0,0.728,4109,1,1,57,0,1,0,0
99,1,0,56948,1070,806,1,232166,0,95.778,2424,1,1,47,0,0,0,0
100,1,0,790,8,0,0,790,0,0.54,1463,1,1,129,0,0,0,0
101,1,0,1328,8,176,0,1944,0,0.508,3830,1,0,14,0,0,0,0
102,1,0,1958,3468,3903,0,11981,0,3.68,3256,1,0,159,0,0,0,0
103,1,0,0,153,0,0,23967,0,23.73,1010,1,1,159,0,0,0,0
104,1,0,2614,27,0,0,5472,0,2.317,2362,1,0,17,0,0,0,0
105,0,0,0,6,1,0,2884,0,2.744,1051,1,1,16,0,0,1,0
106,0,0,1316,24,88,1,1933,0,0.481,4018,1,0,23,0,0,0,0
107,1,0,91,1,93,0,24,0,0.008,3074,1,1,22,0,0,0,0
108,1,0,3695,313,558,1,6956,0,2.358,2950,1,0,154,0,0,0,0
109,0,0,56,3,0,0,112,0,0.032,3534,1,0,74,0,0,0,0
110,0,0,20729,1577369,3035,1,40850,1,9.386,4352,1,1,158,0,0,0,0
111,1,0,1651,35,0,0,2379,0,0.707,3367,1,0,133,0,0,0,0
112,1,0,826,77,783,0,139,0,0.056,2499,1,1,43,0,0,0,1
113,1,0,12,1,0,0,23,0,0.008,3026,1,0,123,0,0,0,0
114,1,0,2081,32,160,0,2772,0,2.227,1245,1,0,55,0,0,0,0
115,0,0,52721,587,749,1,91929,0,23.232,3957,1,0,66,0,0,1,0
116,0,0,2463,38,155,1,3646,0,1.265,2883,1,0,88,0,0,0,0
117,1,0,194,1,0,0,44,0,0.013,3313,1,1,54,0,0,0,1
118,1,0,25,0,28,0,159,0,0.129,1231,1,0,105,0,0,0,0
119,0,0,2721,3009,1506,0,6297,0,1.556,4046,1,0,110,0,0,0,0
120,1,0,83,1,0,0,18,0,0.007,2638,1,1,59,0,0,0,1
121,0,0,7,946,1958,0,17506,0,4.124,4245,1,0,31,0,0,0,0
122,0,0,930,126,1134,1,1392,0,0.352,3957,1,0,50,0,0,0,0
123,0,0,0,1162,0,0,4092,0,1.649,2482,1,1,49,0,0,0,0
124,0,0,36,2258,148,0,30377,0,12.652,2401,1,0,67,0,0,0,0
125,1,0,1331,9,32,0,1328,0,0.908,1462,1,1,115,0,0,0,0
126,0,0,807,36,63,0,1060,0,0.252,4211,1,0,36,0,0,0,0
127,1,0,232,15,236,0,61,0,0.028,2191,1,1,35,0,0,0,1
128,0,0,2311,27,35,0,3379,0,0.823,4108,1,0,61,0,0,0,0
129,1,0,367,7,0,0,81,0,0.03,2695,1,1,64,0,0,0,1
